TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,3.04025,2,6,2,20,1,2.01816,5.05841,6.08389
2,30,11,11,4,1,1,2.23463,1,6,2,20,1,12.1099,14.3445,15.3581
3,30,12,38,4,1,2,1.18747,1,6,2,20,1,19.3751,20.5626,21.5824
4,35,12,76,6,1,3,0.987925,1,6,2,20,1,25.6102,26.5981,27.6195
5,25,16,113,5,1,4,1.63748,1,6,2,20,1,33.6459,35.2833,36.3085
6,25,16,70,6,1,5,1.46766,1,6,2,20,1,41.3352,42.8029,43.8214
7,30,18,67,4,1,6,1.10414,1,6,2,20,1,49.8507,50.9548,51.9801
8,25,19,20,4,1,7,1.42139,1,6,2,20,1,56.0025,57.4239,58.4384
9,30,21,171,4,1,8,1.17056,1,6,2,20,1,62.4551,63.6257,64.6471
10,35,25,4,5,1,9,2.23829,2,6,2,20,1,68.6728,70.9111,71.9349
11,35,30,3,4,1,10,1.33438,2,6,2,20,1,76.9623,78.2967,79.3136
12,35,32,59,4,1,11,1.2546,1,6,2,20,1,83.3439,84.5985,85.6159
13,35,30,42,5,1,12,1.57147,1,6,2,20,1,89.6456,91.2171,92.2302
14,30,15,158,6,1,13,1.32069,1,6,2,20,1,97.2481,98.5688,99.5933
15,35,31,129,4,1,14,1.62112,1,6,2,20,1,105.617,107.238,108.26
16,35,13,27,4,1,15,1.07133,1,6,2,20,1,112.286,113.357,114.376
17,25,17,9,4,1,16,1.07132,1,6,2,20,1,118.404,119.475,120.491
