TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,3.42456,2,12,2,24,0,2.01707,5.44163,6.4583
2,30,11,11,4,1,1,2.41762,2,12,2,24,0,12.4772,14.8948,15.9117
3,30,12,38,4,1,2,1.73816,2,12,2,24,0,19.942,21.6802,22.6976
4,35,12,76,6,1,3,1.25461,2,12,2,24,0,26.7274,27.982,28.9999
5,25,16,113,5,1,4,1.63122,2,12,2,24,0,35.0196,36.6508,37.6733
6,25,16,70,6,1,5,1.81772,2,12,2,24,0,42.7025,44.5203,45.5356
7,30,18,67,4,1,6,1.07122,2,12,2,24,0,51.5514,52.6226,53.6373
8,25,19,20,4,1,7,1.97166,2,12,2,24,0,57.653,59.6247,60.6415
9,30,21,171,4,1,8,2.73606,2,12,2,24,0,64.6738,67.4099,68.4258
10,35,25,4,5,1,9,1.53825,2,12,2,24,0,72.4408,73.9791,74.9933
11,35,30,3,4,1,10,1.68424,2,12,2,24,0,80.0136,81.6978,82.7151
12,35,32,59,4,1,11,1.68809,2,12,2,24,0,86.745,88.4331,89.4542
13,35,30,42,5,1,12,1.35464,2,12,2,24,0,93.4804,94.835,95.8501
14,30,15,158,6,1,13,2.23745,2,12,2,24,0,100.866,103.104,104.118
15,35,31,129,4,1,14,4.60162,1,12,2,24,0,110.139,114.741,115.755
16,35,13,27,4,1,15,3.17181,2,12,2,24,0,119.771,122.943,123.961
17,25,17,9,4,1,16,2.12108,2,12,2,24,0,127.99,130.112,131.136
