TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,3.48855,2,1,2,20,1,2.01799,5.50654,6.52067
2,30,11,11,4,1,1,1.76726,1,1,2,20,1,12.5414,14.3086,15.3345
3,30,12,38,4,1,2,2.18811,1,1,2,20,1,19.3564,21.5446,22.5591
4,35,12,76,6,1,3,1.6213,1,1,2,20,1,26.5752,28.1965,29.2203
5,25,16,113,5,1,4,1.63806,1,1,2,20,1,35.2443,36.8824,37.9093
6,25,16,70,6,1,5,1.4509,1,1,2,20,1,42.9337,44.3846,45.3972
7,30,18,67,4,1,6,1.65455,1,1,2,20,1,51.416,53.0705,54.0882
8,25,19,20,4,1,7,2.27152,1,1,2,20,1,58.1178,60.3893,61.4045
9,30,21,171,4,1,8,1.4036,1,1,2,20,1,65.4209,66.8245,67.8472
10,35,25,4,5,1,9,2.1548,2,1,2,20,1,71.8719,74.0267,75.0387
11,35,30,3,4,1,10,3.73519,1,1,2,20,1,80.0612,83.7964,84.8217
12,35,32,59,4,1,11,1.57113,1,1,2,20,1,88.8437,90.4148,91.436
13,35,30,42,5,1,12,1.87145,1,1,2,20,1,95.4621,97.3335,98.3467
14,30,15,158,6,1,13,1.73386,1,1,2,20,1,103.369,105.103,106.115
15,35,31,129,4,1,14,1.57113,1,1,2,20,1,112.134,113.705,114.726
16,35,13,27,4,1,15,2.12136,1,1,2,20,1,118.752,120.874,121.888
17,25,17,9,4,1,16,1.85465,1,1,2,20,1,125.904,127.759,128.783
