TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,5.38975,2,2,1,20,1,2.01706,7.40682,8.42385
2,30,11,11,4,1,1,6.2847,2,2,1,20,1,14.459,20.7437,21.7617
3,30,12,38,4,1,2,2.92161,1,2,1,20,1,25.7916,28.7132,29.7332
4,35,12,76,6,1,3,2.83757,1,2,1,20,1,33.7608,36.5984,37.6111
5,25,16,113,5,1,4,2.55108,1,2,1,20,1,43.6339,46.185,47.2049
6,25,16,70,6,1,5,2.02139,1,2,1,20,1,52.2327,54.2541,55.27
7,30,18,67,4,1,6,2.8383,1,2,1,20,1,61.2854,64.1237,65.1446
8,25,19,20,4,1,7,5.1385,2,2,1,20,1,69.171,74.3095,75.3313
9,30,21,171,4,1,8,2.05159,1,2,1,20,1,79.3606,81.4122,82.4302
10,35,25,4,5,1,9,1.90468,2,2,1,20,1,86.4595,88.3642,89.3877
11,35,30,3,4,1,10,1.93461,2,2,1,20,1,94.4154,96.35,97.3748
12,35,32,59,4,1,11,1.78784,1,2,1,20,1,101.397,103.185,104.207
13,35,30,42,5,1,12,2.75119,1,2,1,20,1,108.236,110.988,112.007
14,30,15,158,6,1,13,2.38764,1,2,1,20,1,117.035,119.423,120.447
15,35,31,129,4,1,14,2.4048,1,2,1,20,1,126.471,128.876,129.9
16,35,13,27,4,1,15,3.55468,2,2,1,20,1,133.924,137.478,138.496
17,25,17,9,4,1,16,2.62149,2,2,1,20,1,142.526,145.148,146.171
