TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1.0,0.0,1.00949,2.0,222,1,23,Female,2.08829,3.09779,4.11071
2,30,11,11,4,1.0,1.0,0.675741,1.0,222,1,23,Female,10.137,10.8127,11.8273
3,30,12,38,4,1.0,2.0,1.54194,1.0,222,1,23,Female,15.8487,17.3906,18.4079
4,35,12,76,6,1.0,3.0,1.94212,1.0,222,1,23,Female,22.4301,24.3722,25.3893
5,25,16,113,5,1.0,4.0,0.47207,2.0,222,1,23,Female,31.4166,31.8887,32.9056
6,25,16,70,6,1.0,5.0,0.694046,1.0,222,1,23,Female,37.9292,38.6233,39.6365
7,30,18,67,4,1.0,6.0,2.29408,2.0,222,1,23,Female,45.6622,47.9563,48.9732
8,25,19,20,4,1.0,7.0,1.57613,2.0,222,1,23,Female,52.9938,54.5699,55.5871
9,30,21,171,4,1.0,8.0,0.528263,1.0,222,1,23,Female,59.6079,60.1362,61.1492
10,35,25,4,5,1.0,9.0,2.11371,2.0,222,1,23,Female,65.1713,67.285,68.2975
11,35,30,3,4,1.0,10.0,2.03073,2.0,222,1,23,Female,73.3216,75.3523,76.3654
12,35,32,59,4,1.0,11.0,2.56283,1.0,222,1,23,Female,80.387,82.9498,83.9644
13,35,30,42,5,1.0,12.0,1.84547,1.0,222,1,23,Female,87.9872,89.8327,90.8458
14,30,15,158,6,1.0,13.0,1.11092,2.0,222,1,23,Female,95.87,96.9809,97.9944
15,35,31,129,4,1.0,14.0,2.48092,1.0,222,1,23,Female,104.021,106.502,107.515
16,35,13,27,4,1.0,15.0,3.56321,2.0,222,1,23,Female,111.536,115.1,116.116
17,25,17,9,4,1.0,16.0,1.89655,2.0,222,1,23,Female,120.138,122.035,123.047
