TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,2.18854,2,10,2,19,0,2.01712,4.20566,5.2259
2,30,11,11,4,1,1,2.13371,2,10,2,19,0,11.2575,13.3912,14.4141
3,30,12,38,4,1,2,2.72177,1,10,2,19,0,18.4388,21.1606,22.1828
4,35,12,76,6,1,3,4.32223,2,10,2,19,0,26.2078,30.53,31.5426
5,25,16,113,5,1,4,1.43438,1,10,2,19,0,37.5648,38.9992,40.0133
6,25,16,70,6,1,5,2.78837,1,10,2,19,0,45.0301,47.8184,48.8428
7,30,18,67,4,1,6,2.87183,1,10,2,19,0,54.8662,57.7381,58.75
8,25,19,20,4,1,7,1.67095,2,10,2,19,0,62.7686,64.4396,65.4579
9,30,21,171,4,1,8,1.55283,1,10,2,19,0,69.4891,71.042,72.0565
10,35,25,4,5,1,9,1.57138,2,10,2,19,0,76.0725,77.6439,78.6708
11,35,30,3,4,1,10,2.2173,2,10,2,19,0,83.6952,85.9125,86.9387
12,35,32,59,4,1,11,1.58808,1,10,2,19,0,90.9602,92.5483,93.5686
13,35,30,42,5,1,12,1.45073,1,10,2,19,0,97.5995,99.0502,100.074
14,30,15,158,6,1,13,1.75471,1,10,2,19,0,105.098,106.853,107.873
15,35,31,129,4,1,14,1.58815,1,10,2,19,0,113.9,115.488,116.503
16,35,13,27,4,1,15,1.63812,2,10,2,19,0,120.519,122.157,123.18
17,25,17,9,4,1,16,1.6381,2,10,2,19,0,127.204,128.842,129.856
