TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,3.20028,2,16,2,19,1,2.01791,5.21819,6.23993
2,30,11,11,4,1,1,3.61798,2,16,2,19,1,12.2701,15.8881,16.9102
3,30,12,38,4,1,2,1.88823,1,16,2,19,1,20.9353,22.8235,23.8365
4,35,12,76,6,1,3,2.23828,1,16,2,19,1,27.8541,30.0924,31.1061
5,25,16,113,5,1,4,2.08455,1,16,2,19,1,37.1272,39.2117,40.2319
6,25,16,70,6,1,5,1.8049,1,16,2,19,1,45.2592,47.0641,48.0787
7,30,18,67,4,1,6,2.02115,1,16,2,19,1,54.0952,56.1164,57.1422
8,25,19,20,4,1,7,2.77174,2,16,2,19,1,61.1641,63.9358,64.9577
9,30,21,171,4,1,8,1.78672,1,16,2,19,1,68.984,70.7708,71.7904
10,35,25,4,5,1,9,2.07165,2,16,2,19,1,75.8184,77.89,78.9039
11,35,30,3,4,1,10,1.9675,2,16,2,19,1,83.925,85.8925,86.9066
12,35,32,59,4,1,11,1.92104,1,16,2,19,1,90.923,92.844,93.8641
13,35,30,42,5,1,12,1.68423,1,16,2,19,1,97.8956,99.5798,100.603
14,30,15,158,6,1,13,1.75491,1,16,2,19,1,105.627,107.382,108.403
15,35,31,129,4,1,14,1.35477,1,16,2,19,1,114.43,115.785,116.811
16,35,13,27,4,1,15,1.62103,1,16,2,19,1,120.832,122.453,123.473
17,25,17,9,4,1,16,1.88828,2,16,2,19,1,127.501,129.389,130.415
