TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,1.82787,2,8,1,20,1,2.01779,3.84567,4.86711
2,30,11,11,4,1,1,2.40087,1,8,1,20,1,10.8976,13.2985,14.3206
3,30,12,38,4,1,2,2.18754,1,8,1,20,1,18.3459,20.5334,21.5588
4,35,12,76,6,1,3,2.07099,1,8,1,20,1,25.5812,27.6522,28.6723
5,25,16,113,5,1,4,1.93816,1,8,1,20,1,34.7005,36.6387,37.6577
6,25,16,70,6,1,5,2.33481,1,8,1,20,1,42.6896,45.0244,46.0504
7,30,18,67,4,1,6,2.93853,1,8,1,20,1,52.0722,55.0107,56.0342
8,25,19,20,4,1,7,2.45495,1,8,1,20,1,60.058,62.5129,63.5264
9,30,21,171,4,1,8,1.53608,1,8,1,20,1,67.5454,69.0815,70.094
10,35,25,4,5,1,9,1.40465,2,8,1,20,1,74.1121,75.5167,76.5367
11,35,30,3,4,1,10,1.31751,2,8,1,20,1,81.5681,82.8856,83.9017
12,35,32,59,4,1,11,1.70684,1,8,1,20,1,87.9136,89.6204,90.6408
13,35,30,42,5,1,12,1.70478,1,8,1,20,1,94.6681,96.3729,97.3955
14,30,15,158,6,1,13,1.30081,1,8,1,20,1,102.424,103.725,104.743
15,35,31,129,4,1,14,1.67161,1,8,1,20,1,110.773,112.444,113.463
16,35,13,27,4,1,15,1.45458,1,8,1,20,1,117.491,118.946,119.973
17,25,17,9,4,1,16,2.08763,2,8,1,20,1,123.993,126.081,127.102
