TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,2.19827,2,17,2,20,1,2.01771,4.21598,5.24148
2,30,11,11,4,1,1,3.55091,1,17,2,20,1,11.2676,14.8185,15.8336
3,30,12,38,4,1,2,3.43856,1,17,2,20,1,19.8495,23.2881,24.3042
4,35,12,76,6,1,3,2.23834,1,17,2,20,1,28.3185,30.5568,31.5736
5,25,16,113,5,1,4,3.83465,1,17,2,20,1,37.5915,41.4261,42.4465
6,25,16,70,6,1,5,1.93823,1,17,2,20,1,47.4739,49.4122,50.4335
7,30,18,67,4,1,6,1.78817,1,17,2,20,1,56.4599,58.248,59.2628
8,25,19,20,4,1,7,3.98879,1,17,2,20,1,63.2785,67.2673,68.2794
9,30,21,171,4,1,8,2.07034,1,17,2,20,1,72.2985,74.3688,75.3928
10,35,25,4,5,1,9,2.12127,2,17,2,20,1,79.4168,81.538,82.553
11,35,30,3,4,1,10,1.85037,2,17,2,20,1,87.5728,89.4231,90.4464
12,35,32,59,4,1,11,1.68813,1,17,2,20,1,94.4707,96.1589,97.1854
13,35,30,42,5,1,12,1.67147,1,17,2,20,1,101.206,102.877,103.893
14,30,15,158,6,1,13,1.72142,1,17,2,20,1,108.908,110.63,111.646
15,35,31,129,4,1,14,5.37249,1,17,2,20,1,117.661,123.033,124.048
16,35,13,27,4,1,15,8.81896,2,17,2,20,1,128.068,136.887,137.9
17,25,17,9,4,1,16,1.77117,2,17,2,20,1,141.917,143.689,144.702
