TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1.0,0.0,5.38124,2.0,17,1,20,1,2.01712,7.39836,8.42391
2,30,11,11,4,1.0,1.0,11.5371,2.0,17,1,20,1,14.4502,25.9873,27.0053
3,30,12,38,4,1.0,2.0,3.27189,1.0,17,1,20,1,31.0346,34.3065,35.32
4,35,12,76,6,1.0,3.0,3.03477,1.0,17,1,20,1,39.3408,42.3755,43.4007
5,25,16,113,5,1.0,4.0,6.27208,1.0,17,1,20,1,49.4237,55.6957,56.723
6,25,16,70,6,1.0,5.0,7.91935,1.0,17,1,20,1,61.7477,69.6671,70.6848
7,30,18,67,4,1.0,6.0,3.8383,1.0,17,1,20,1,76.7149,80.5532,81.5735
8,25,19,20,4,1.0,7.0,11.6543,1.0,17,1,20,1,85.6044,97.2587,98.2809
9,30,21,171,4,1.0,8.0,2.33416,1.0,17,1,20,1,102.31,104.644,105.66
10,35,25,4,5,1.0,9.0,2.7051,2.0,17,1,20,1,109.675,112.38,113.397
11,35,30,3,4,1.0,10.0,1.88424,2.0,17,1,20,1,118.431,120.316,121.337
12,35,32,59,4,1.0,11.0,2.47153,1.0,17,1,20,1,125.363,127.835,128.857
13,35,30,42,5,1.0,12.0,2.62733,1.0,17,1,20,1,132.876,135.503,136.516
14,30,15,158,6,1.0,13.0,3.72211,1.0,17,1,20,1,141.534,145.256,146.282
15,35,31,129,4,1.0,14.0,2.23817,1.0,17,1,20,1,152.304,154.543,155.563
16,35,13,27,4,1.0,15.0,5.98947,2.0,17,1,20,1,159.59,165.579,166.593
17,25,17,9,4,1.0,16.0,4.70668,2.0,17,1,20,1,170.608,175.315,176.328
