Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
115,1,1,1,29,11,25,5,1,1.628,0
115,1,1,1,29,11,30,11,1,1.948,0
115,1,1,1,29,12,30,38,2,2.52,0
115,1,1,1,29,12,35,76,1,3.873,0
115,1,1,1,29,16,25,113,2,1.472,0
115,1,1,1,29,16,25,70,2,1.172,0
115,1,1,1,29,18,30,67,2,2.311,0
115,1,1,1,29,19,25,20,1,2.135,0
115,1,1,1,29,21,30,171,1,2.014,0
115,1,1,1,29,25,35,4,1,2.586,0
115,1,1,1,29,30,35,3,1,2.357,0
115,1,1,1,29,32,35,59,2,2.767,0
115,1,1,1,29,30,35,42,2,3.019,0
115,1,1,1,29,15,30,158,1,3.958,0
115,1,1,1,29,31,35,129,2,1.929,0
115,1,1,1,29,13,35,27,2,2.529,0
115,1,1,1,29,17,25,9,1,2.334,0
