Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
105,1,1,1,30,11,25,5,2,3.966,1
105,1,1,1,30,11,30,11,2,2.415,1
105,1,1,1,30,12,30,38,1,2.63,1
105,1,1,1,30,12,35,76,1,3.784,0
105,1,1,1,30,16,25,113,2,2.879,0
105,1,1,1,30,16,25,70,2,3.851,0
105,1,1,1,30,18,30,67,2,3.181,0
105,1,1,1,30,19,25,20,1,2.431,0
105,1,1,1,30,21,30,171,1,2.079,0
105,1,1,1,30,25,35,4,2,2.07,1
105,1,1,1,30,30,35,3,2,2.848,1
105,1,1,1,30,32,35,59,2,2.254,0
105,1,1,1,30,30,35,42,2,3.744,0
105,1,1,1,30,15,30,158,1,2.476,0
105,1,1,1,30,31,35,129,2,2.295,0
105,1,1,1,30,13,35,27,,,
105,1,1,1,30,17,25,9,1,2.696,0
