Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
106,0,1,1,34,11,25,5,2,2.072,1
106,0,1,1,34,11,30,11,2,2.093,1
106,0,1,1,34,12,30,38,1,2.943,1
106,0,1,1,34,12,35,76,2,3.028,1
106,0,1,1,34,16,25,113,2,2.61,0
106,0,1,1,34,16,25,70,2,2.325,0
106,0,1,1,34,18,30,67,2,2.541,0
106,0,1,1,34,19,25,20,1,3.49,0
106,0,1,1,34,21,30,171,1,2.941,0
106,0,1,1,34,25,35,4,2,2.511,1
106,0,1,1,34,30,35,3,2,2.64,1
106,0,1,1,34,32,35,59,2,3.007,0
106,0,1,1,34,30,35,42,2,2.642,0
106,0,1,1,34,15,30,158,1,3.56,0
106,0,1,1,34,31,35,129,2,2.223,0
106,0,1,1,34,13,35,27,1,2.506,1
106,0,1,1,34,17,25,9,2,2.157,1
