Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
102,1,1,1,34,11,25,5,1,2.302,0
102,1,1,1,34,11,30,11,2,1.483,1
102,1,1,1,34,12,30,38,2,1.647,0
102,1,1,1,34,12,35,76,1,2.014,0
102,1,1,1,34,16,25,113,2,1.086,0
102,1,1,1,34,16,25,70,2,2.064,0
102,1,1,1,34,18,30,67,2,1.2,0
102,1,1,1,34,19,25,20,2,2.81,1
102,1,1,1,34,21,30,171,1,1.39,0
102,1,1,1,34,25,35,4,1,1.422,0
102,1,1,1,34,30,35,3,2,1.562,1
102,1,1,1,34,32,35,59,2,1.737,0
102,1,1,1,34,30,35,42,2,1.832,0
102,1,1,1,34,15,30,158,1,1.815,0
102,1,1,1,34,31,35,129,2,2.21,0
102,1,1,1,34,13,35,27,2,2.485,0
102,1,1,1,34,17,25,9,2,2.771,1
