Sub,Session,Race,Sex,Age,Immed,Delay,Time,response,rt,resp_final
104,1,1,1,30,11,25,5,1,2.285,0
104,1,1,1,30,11,30,11,2,1.604,1
104,1,1,1,30,12,30,38,2,0.558,0
104,1,1,1,30,12,35,76,2,0.419,1
104,1,1,1,30,16,25,113,2,4.757,0
104,1,1,1,30,16,25,70,,,
104,1,1,1,30,18,30,67,2,0.915,0
104,1,1,1,30,19,25,20,1,0.373,0
104,1,1,1,30,21,30,171,1,4.328,0
104,1,1,1,30,25,35,4,1,0.452,0
104,1,1,1,30,30,35,3,,,
104,1,1,1,30,32,35,59,2,0.31,0
104,1,1,1,30,30,35,42,2,0.38,0
104,1,1,1,30,15,30,158,1,0.415,0
104,1,1,1,30,31,35,129,2,4.894,0
104,1,1,1,30,13,35,27,1,1.879,1
104,1,1,1,30,17,25,9,2,2.118,1
