TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,3.7157,2,9,2,22,1,2.00775,5.72345,6.74555
2,30,11,11,4,1,1,2.28446,2,9,2,22,1,12.7751,15.0596,16.0742
3,30,12,38,4,1,2,2.57178,2,9,2,22,1,20.09,22.6618,23.6869
4,35,12,76,6,1,3,7.42324,2,9,2,22,1,27.7089,35.1321,36.151
5,25,16,113,5,1,4,7.53622,2,9,2,22,1,42.1835,49.7198,50.7368
6,25,16,70,6,1,5,1.9738,2,9,2,22,1,55.765,57.7388,58.755
7,30,18,67,4,1,6,2.42164,2,9,2,22,1,64.7699,67.1916,68.2103
8,25,19,20,4,1,7,1.60065,2,9,2,22,1,72.2424,73.8431,74.8558
9,30,21,171,4,1,8,8.68893,2,9,2,22,1,78.8753,87.5642,88.5835
10,35,25,4,5,1,9,1.68777,2,9,2,22,1,92.6118,94.2995,95.3226
11,35,30,3,4,1,10,1.26745,2,9,2,22,1,100.351,101.618,102.639
12,35,32,59,4,1,11,3.32203,1,9,2,22,1,106.665,109.987,111
13,35,30,42,5,1,12,2.32163,1,9,2,22,1,115.018,117.34,118.363
14,30,15,158,6,1,13,7.82281,2,9,2,22,1,123.387,131.21,132.234
15,35,31,129,4,1,14,4.21802,1,9,2,22,1,138.262,142.48,143.497
16,35,13,27,4,1,15,1.55486,2,9,2,22,1,147.527,149.082,150.096
17,25,17,9,4,1,16,1.30421,2,9,2,22,1,154.113,155.417,156.43
