TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,4.77581,2,9,1,22,1,2.01698,6.79279,7.81545
2,30,11,11,4,1,1,3.70151,2,9,1,22,1,13.8444,17.5459,18.5637
3,30,12,38,4,1,2,11.9241,2,9,1,22,1,22.5935,34.5176,35.5326
4,35,12,76,6,1,3,28.1093,2,9,1,22,1,39.5515,67.6607,68.678
5,25,16,113,5,1,4,14.538,1,9,1,22,1,74.7123,89.2503,90.2624
6,25,16,70,6,1,5,30.7094,1,9,1,22,1,95.285,125.994,127.015
7,30,18,67,4,1,6,20.1728,1,9,1,22,1,133.046,153.219,154.239
8,25,19,20,4,1,7,3.87174,2,9,1,22,1,158.267,162.138,163.162
9,30,21,171,4,1,8,3.63359,1,9,1,22,1,167.191,170.824,171.851
10,35,25,4,5,1,9,2.92129,2,9,1,22,1,175.872,178.793,179.807
11,35,30,3,4,1,10,2.98856,2,9,1,22,1,184.824,187.813,188.842
12,35,32,59,4,1,11,4.37221,1,9,1,22,1,192.86,197.232,198.249
13,35,30,42,5,1,12,15.2587,2,9,1,22,1,202.263,217.521,218.544
14,30,15,158,6,1,13,10.2907,2,9,1,22,1,223.569,233.86,234.877
15,35,31,129,4,1,14,43.2671,1,9,1,22,1,240.891,284.158,285.172
16,35,13,27,4,1,15,3.68796,2,9,1,22,1,289.189,292.877,293.892
17,25,17,9,4,1,16,2.90519,2,9,1,22,1,297.907,300.812,301.833
