TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,3.40661,2,Rej_01,1,20,F,2.0172,5.42381,6.44269
2,30,11,11,4,1,1,3.30104,2,Rej_01,1,20,F,12.4758,15.7768,16.8009
3,30,12,38,4,1,2,4.53882,1,Rej_01,1,20,F,20.8242,25.3631,26.3792
4,35,12,76,6,1,3,2.87088,1,Rej_01,1,20,F,30.394,33.2649,34.2893
5,25,16,113,5,1,4,3.31807,1,Rej_01,1,20,F,40.3171,43.6351,44.6475
6,25,16,70,6,1,5,3.17163,1,Rej_01,1,20,F,49.6662,52.8379,53.8514
7,30,18,67,4,1,6,2.58838,1,Rej_01,1,20,F,59.8692,62.4576,63.4765
8,25,19,20,4,1,7,2.50488,1,Rej_01,1,20,F,67.5048,70.0097,71.0267
9,30,21,171,4,1,8,2.18386,1,Rej_01,1,20,F,75.0613,77.2451,78.265
10,35,25,4,5,1,9,3.57141,2,Rej_01,1,20,F,82.2925,85.8639,86.8761
11,35,30,3,4,1,10,3.25131,2,Rej_01,1,20,F,91.8991,95.1504,96.1736
12,35,32,59,4,1,11,1.95464,1,Rej_01,1,20,F,100.198,102.153,103.178
13,35,30,42,5,1,12,2.02147,1,Rej_01,1,20,F,107.2,109.221,110.245
14,30,15,158,6,1,13,1.83464,1,Rej_01,1,20,F,115.272,117.107,118.122
15,35,31,129,4,1,14,1.8207,1,Rej_01,1,20,F,124.138,125.959,126.984
16,35,13,27,4,1,15,1.87137,1,Rej_01,1,20,F,131.007,132.878,133.895
17,25,17,9,4,1,16,2.52149,1,Rej_01,1,20,F,137.909,140.431,141.445
TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1.0,0.0,3.48855,2.0,Rej_01,2,20,F,2.01799,5.50654,6.52067
2,30,11,11,4,1.0,1.0,1.76726,1.0,Rej_01,2,20,F,12.5414,14.3086,15.3345
3,30,12,38,4,1.0,2.0,2.18811,1.0,Rej_01,2,20,F,19.3564,21.5446,22.5591
4,35,12,76,6,1.0,3.0,1.6213,1.0,Rej_01,2,20,F,26.5752,28.1965,29.2203
5,25,16,113,5,1.0,4.0,1.63806,1.0,Rej_01,2,20,F,35.2443,36.8824,37.9093
6,25,16,70,6,1.0,5.0,1.4509,1.0,Rej_01,2,20,F,42.9337,44.3846,45.3972
7,30,18,67,4,1.0,6.0,1.65455,1.0,Rej_01,2,20,F,51.416,53.0705,54.0882
8,25,19,20,4,1.0,7.0,2.27152,1.0,Rej_01,2,20,F,58.1178,60.3893,61.4045
9,30,21,171,4,1.0,8.0,1.4036,1.0,Rej_01,2,20,F,65.4209,66.8245,67.8472
10,35,25,4,5,1.0,9.0,2.1548,2.0,Rej_01,2,20,F,71.8719,74.0267,75.0387
11,35,30,3,4,1.0,10.0,3.73519,1.0,Rej_01,2,20,F,80.0612,83.7964,84.8217
12,35,32,59,4,1.0,11.0,1.57113,1.0,Rej_01,2,20,F,88.8437,90.4148,91.436
13,35,30,42,5,1.0,12.0,1.87145,1.0,Rej_01,2,20,F,95.4621,97.3335,98.3467
14,30,15,158,6,1.0,13.0,1.73386,1.0,Rej_01,2,20,F,103.369,105.103,106.115
15,35,31,129,4,1.0,14.0,1.57113,1.0,Rej_01,2,20,F,112.134,113.705,114.726
16,35,13,27,4,1.0,15.0,2.12136,1.0,Rej_01,2,20,F,118.752,120.874,121.888
17,25,17,9,4,1.0,16.0,1.85465,1.0,Rej_01,2,20,F,125.904,127.759,128.783
