TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,4.75389,2,11,1,21,1,2.00131,6.7552,7.76867
2,30,11,11,4,1,1,6.46847,2,11,1,21,1,13.7902,20.2587,21.278
3,30,12,38,4,1,2,4.45546,2,11,1,21,1,25.3065,29.762,30.7783
4,35,12,76,6,1,3,9.02372,2,11,1,21,1,34.7924,43.8162,44.8336
5,25,16,113,5,1,4,6.23563,1,11,1,21,1,50.8677,57.1033,58.1246
6,25,16,70,6,1,5,4.28741,2,11,1,21,1,63.1523,67.4397,68.4516
7,30,18,67,4,1,6,4.53033,1,11,1,21,1,74.4627,78.9931,80.011
8,25,19,20,4,1,7,3.16789,1,11,1,21,1,84.0443,87.2122,88.232
9,30,21,171,4,1,8,2.68685,1,11,1,21,1,92.2604,94.9473,95.9695
10,35,25,4,5,1,9,2.03822,2,11,1,21,1,99.995,102.033,103.052
11,35,30,3,4,1,10,2.08421,2,11,1,21,1,108.084,110.168,111.195
12,35,32,59,4,1,11,3.50091,1,11,1,21,1,115.22,118.721,119.744
13,35,30,42,5,1,12,2.78837,1,11,1,21,1,123.769,126.557,127.575
14,30,15,158,6,1,13,4.68493,2,11,1,21,1,132.609,137.294,138.307
15,35,31,129,4,1,14,1.98733,1,11,1,21,1,144.325,146.312,147.339
16,35,13,27,4,1,15,2.22152,2,11,1,21,1,151.36,153.582,154.609
17,25,17,9,4,1,16,1.95469,2,11,1,21,1,158.629,160.584,161.598
