TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,1.88543,2,11,2,21,1,2.01715,3.90258,4.92949
2,30,11,11,4,1,1,1.90037,2,11,2,21,1,10.9554,12.8557,13.8682
3,30,12,38,4,1,2,2.25498,2,11,2,21,1,17.8867,20.1417,21.1689
4,35,12,76,6,1,3,1.23785,2,11,2,21,1,25.189,26.4268,27.44
5,25,16,113,5,1,4,2.8218,2,11,2,21,1,33.458,36.2798,37.302
6,25,16,70,6,1,5,1.16831,2,11,2,21,1,42.3302,43.4986,44.5247
7,30,18,67,4,1,6,1.62091,2,11,2,21,1,50.5464,52.1673,53.1825
8,25,19,20,4,1,7,1.15457,2,11,2,21,1,57.1983,58.3529,59.3756
9,30,21,171,4,1,8,1.42059,2,11,2,21,1,63.4009,64.8215,65.8359
10,35,25,4,5,1,9,2.18834,2,11,2,21,1,69.8519,72.0403,73.0586
11,35,30,3,4,1,10,2.28434,1,11,2,21,1,78.0918,80.3761,81.3888
12,35,32,59,4,1,11,1.33777,1,11,2,21,1,85.4069,86.7446,87.7692
13,35,30,42,5,1,12,1.9548,1,11,2,21,1,91.7918,93.7466,94.7598
14,30,15,158,6,1,13,1.47136,2,11,2,21,1,99.7775,101.249,102.263
15,35,31,129,4,1,14,1.52139,1,11,2,21,1,108.28,109.801,110.828
16,35,13,27,4,1,15,1.45079,2,11,2,21,1,114.852,116.303,117.317
17,25,17,9,4,1,16,1.8046,2,11,2,21,1,121.334,123.139,124.167
