TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,3.35349,2,10,1,19,0,2.00128,5.35477,6.38029
2,30,11,11,4,1,1,9.30263,2,10,1,19,0,12.4074,21.71,22.7288
3,30,12,38,4,1,2,8.8398,2,10,1,19,0,26.7577,35.5975,36.6126
4,35,12,76,6,1,3,4.35173,1,10,1,19,0,40.6318,44.9836,46.0036
5,25,16,113,5,1,4,2.65101,1,10,1,19,0,52.0354,54.6864,55.7066
6,25,16,70,6,1,5,11.1574,1,10,1,19,0,60.7339,71.8913,72.9131
7,30,18,67,4,1,6,2.78793,1,10,1,19,0,78.9393,81.7272,82.741
8,25,19,20,4,1,7,2.28457,1,10,1,19,0,86.7622,89.0468,90.0728
9,30,21,171,4,1,8,2.12014,1,10,1,19,0,94.0947,96.2148,97.2331
10,35,25,4,5,1,9,3.33849,2,10,1,19,0,101.263,104.601,105.626
11,35,30,3,4,1,10,2.00082,2,10,1,19,0,110.653,112.653,113.675
12,35,32,59,4,1,11,2.87176,1,10,1,19,0,117.701,120.572,121.584
13,35,30,42,5,1,12,8.0399,1,10,1,19,0,125.603,133.643,134.657
14,30,15,158,6,1,13,9.10271,2,10,1,19,0,139.678,148.781,149.804
15,35,31,129,4,1,14,2.50457,1,10,1,19,0,155.829,158.334,159.351
16,35,13,27,4,1,15,2.9717,2,10,1,19,0,163.381,166.353,167.369
17,25,17,9,4,1,16,2.2882,2,10,1,19,0,171.4,173.688,174.701
