TrialNumber,Delay,Immed,Time,ITI,ran,order,resp,sub,session,Age,sex
1,25,11,5,6,1.0,0.0,2.0,123,1,1,1
2,30,11,11,4,1.0,1.0,1.0,123,1,1,1
3,30,12,38,4,1.0,2.0,1.0,123,1,1,1
4,35,12,76,6,1.0,3.0,1.0,123,1,1,1
5,25,16,113,5,1.0,4.0,--,--,--,--,--
6,25,16,70,6,0.0,--,--,--,--,--,--
7,30,18,67,4,0.0,--,--,--,--,--,--
8,25,19,20,4,0.0,--,--,--,--,--,--
9,30,21,171,4,0.0,--,--,--,--,--,--
10,35,25,4,5,0.0,--,--,--,--,--,--
11,35,30,3,4,0.0,--,--,--,--,--,--
12,35,32,59,4,0.0,--,--,--,--,--,--
13,35,30,42,5,0.0,--,--,--,--,--,--
14,30,15,158,6,0.0,--,--,--,--,--,--
15,35,31,129,4,0.0,--,--,--,--,--,--
16,35,13,27,4,0.0,--,--,--,--,--,--
17,25,17,9,4,0.0,--,--,--,--,--,--
TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex
1,25,11,5,6,1.0,0.0,3.09944e-06,2.0,123,1,1,1
2,30,11,11,4,1.0,1.0,5.00679e-06,2.0,123,1,1,1
3,30,12,38,4,1.0,2.0,6.91414e-06,2.0,123,1,1,1
4,35,12,76,6,1.0,3.0,5.00679e-06,2.0,123,1,1,1
5,25,16,113,5,1.0,4.0,--,--,--,--,--,--
6,25,16,70,6,0.0,--,--,--,--,--,--,--
7,30,18,67,4,0.0,--,--,--,--,--,--,--
8,25,19,20,4,0.0,--,--,--,--,--,--,--
9,30,21,171,4,0.0,--,--,--,--,--,--,--
10,35,25,4,5,0.0,--,--,--,--,--,--,--
11,35,30,3,4,0.0,--,--,--,--,--,--,--
12,35,32,59,4,0.0,--,--,--,--,--,--,--
13,35,30,42,5,0.0,--,--,--,--,--,--,--
14,30,15,158,6,0.0,--,--,--,--,--,--,--
15,35,31,129,4,0.0,--,--,--,--,--,--,--
16,35,13,27,4,0.0,--,--,--,--,--,--,--
17,25,17,9,4,0.0,--,--,--,--,--,--,--
