TrialNumber,Immed,Delay,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,11,25,5,6,1.0,0.0,9.113232,1.0,0,1,20,m,2.097499,11.210731,12.227567
2,11,30,11,4,1.0,1.0,0.4908105,2.0,0,1,20,m,18.255377,18.746187,19.760784
3,12,30,38,4,1.0,2.0,5.504868,2.0,0,1,20,m,23.783136,29.288004,30.300682
4,12,35,76,6,1.0,3.0,1.2304968,1.0,0,1,20,m,34.320873,35.551373,36.563904
5,16,25,113,5,1.0,4.0,--,--,--,--,--,--,--,--,--
6,16,25,70,6,0.0,--,--,--,--,--,--,--,--,--,--
7,18,30,67,4,0.0,--,--,--,--,--,--,--,--,--,--
8,19,25,20,4,0.0,--,--,--,--,--,--,--,--,--,--
9,21,30,171,4,0.0,--,--,--,--,--,--,--,--,--,--
10,25,35,4,5,0.0,--,--,--,--,--,--,--,--,--,--
11,30,35,3,4,0.0,--,--,--,--,--,--,--,--,--,--
12,32,35,59,4,0.0,--,--,--,--,--,--,--,--,--,--
13,30,35,42,5,0.0,--,--,--,--,--,--,--,--,--,--
14,15,30,158,6,0.0,--,--,--,--,--,--,--,--,--,--
15,31,35,129,4,0.0,--,--,--,--,--,--,--,--,--,--
16,13,35,27,4,0.0,--,--,--,--,--,--,--,--,--,--
17,17,25,9,4,0.0,--,--,--,--,--,--,--,--,--,--
