TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,2.90444,2,13,2,21,0,2.03334,4.93778,5.95908
2,30,11,11,4,1,1,2.301,2,13,2,21,0,11.9896,14.2906,15.3053
3,30,12,38,4,1,2,3.69014,2,13,2,21,0,19.3196,23.0097,24.0256
4,35,12,76,6,1,3,2.5384,1,13,2,21,0,28.0402,30.5786,31.5914
5,25,16,113,5,1,4,1.95116,1,13,2,21,0,37.6134,39.5646,40.5769
6,25,16,70,6,1,5,1.80432,1,13,2,21,0,45.5955,47.3998,48.4255
7,30,18,67,4,1,6,3.23865,1,13,2,21,0,54.4479,57.6866,58.7057
8,25,19,20,4,1,7,5.02211,2,13,2,21,0,62.7342,67.7563,68.7832
9,30,21,171,4,1,8,2.38718,1,13,2,21,0,72.8041,75.1913,76.2106
10,35,25,4,5,1,9,2.63835,2,13,2,21,0,80.239,82.8773,83.9013
11,35,30,3,4,1,10,1.73387,2,13,2,21,0,88.9286,90.6625,91.6856
12,35,32,59,4,1,11,1.65483,1,13,2,21,0,95.7101,97.3649,98.3779
13,35,30,42,5,1,12,4.50558,1,13,2,21,0,102.395,106.901,107.927
14,30,15,158,6,1,13,1.6548,1,13,2,21,0,112.948,114.603,115.618
15,35,31,129,4,1,14,1.73437,1,13,2,21,0,121.638,123.373,124.385
16,35,13,27,4,1,15,3.82201,2,13,2,21,0,128.403,132.225,133.245
17,25,17,9,4,1,16,3.2387,2,13,2,21,0,137.272,140.511,141.531
