TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,1.87082,2,4,2,30,1,2.01782,3.88864,4.91392
2,30,11,11,4,1,1,2.03491,2,4,2,30,1,10.9399,12.9748,13.993
3,30,12,38,4,1,2,1.93886,2,4,2,30,1,18.0211,19.96,20.9816
4,35,12,76,6,1,3,2.18783,2,4,2,30,1,25.0072,27.195,28.2199
5,25,16,113,5,1,4,2.52117,2,4,2,30,1,34.2433,36.7645,37.7825
6,25,16,70,6,1,5,2.11814,2,4,2,30,1,42.8161,44.9342,45.9612
7,30,18,67,4,1,6,1.90488,2,4,2,30,1,51.9818,53.8867,54.8999
8,25,19,20,4,1,7,1.52141,2,4,2,30,1,58.9172,60.4386,61.4518
9,30,21,171,4,1,8,5.15479,2,4,2,30,1,65.4702,70.625,71.6383
10,35,25,4,5,1,9,1.97097,2,4,2,30,1,75.6556,77.6265,78.6426
11,35,30,3,4,1,10,1.86776,2,4,2,30,1,83.6615,85.5293,86.5517
12,35,32,59,4,1,11,2.72151,1,4,2,30,1,90.5768,93.2983,94.3203
13,35,30,42,5,1,12,3.16802,2,4,2,30,1,98.3494,101.517,102.544
14,30,15,158,6,1,13,2.25484,2,4,2,30,1,107.565,109.82,110.843
15,35,31,129,4,1,14,1.87147,1,4,2,30,1,116.868,118.739,119.766
16,35,13,27,4,1,15,1.60476,2,4,2,30,1,123.786,125.391,126.411
17,25,17,9,4,1,16,1.37104,2,4,2,30,1,130.438,131.809,132.823
