TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,4.44756,2,4,1,30,1,2.01804,6.46561,7.48785
2,30,11,11,4,1,1,3.8508,2,4,1,30,1,13.5175,17.3683,18.392
3,30,12,38,4,1,2,3.37132,2,4,1,30,1,22.4167,25.788,26.8043
4,35,12,76,6,1,3,4.65555,2,4,1,30,1,30.8186,35.4742,36.4917
5,25,16,113,5,1,4,10.5696,2,4,1,30,1,42.5259,53.0955,54.1194
6,25,16,70,6,1,5,3.83411,2,4,1,30,1,59.1477,62.9818,63.9961
7,30,18,67,4,1,6,4.00547,2,4,1,30,1,70.0133,74.0188,75.0407
8,25,19,20,4,1,7,2.4717,2,4,1,30,1,79.066,81.5377,82.5597
9,30,21,171,4,1,8,5.78752,2,4,1,30,1,86.5862,92.3737,93.3879
10,35,25,4,5,1,9,2.95491,2,4,1,30,1,97.405,100.36,101.375
11,35,30,3,4,1,10,2.6011,2,4,1,30,1,106.395,108.996,110.017
12,35,32,59,4,1,11,9.04033,1,4,1,30,1,114.043,123.083,124.106
13,35,30,42,5,1,12,5.56881,2,4,1,30,1,128.134,133.703,134.729
14,30,15,158,6,1,13,5.33907,2,4,1,30,1,139.751,145.09,146.117
15,35,31,129,4,1,14,5.8059,1,4,1,30,1,152.138,157.943,158.957
16,35,13,27,4,1,15,2.43821,2,4,1,30,1,162.974,165.412,166.429
17,25,17,9,4,1,16,2.12096,2,4,1,30,1,170.443,172.564,173.589
