TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,1.25331,1,2,2,20,1,2.01698,3.27029,4.28995
2,30,11,11,4,1,1,2.33359,2,2,2,20,1,10.3223,12.6559,13.683
3,30,12,38,4,1,2,1.63804,1,2,2,20,1,17.7036,19.3417,20.3597
4,35,12,76,6,1,3,1.93814,1,2,2,20,1,24.3889,26.327,27.3483
5,25,16,113,5,1,4,1.47135,1,2,2,20,1,33.3749,34.8462,35.8678
6,25,16,70,6,1,5,2.25115,1,2,2,20,1,40.8975,43.1487,44.1668
7,30,18,67,4,1,6,2.4044,1,2,2,20,1,50.1966,52.601,53.6203
8,25,19,20,4,1,7,1.63803,2,2,2,20,1,57.6487,59.2867,60.3125
9,30,21,171,4,1,8,1.27028,1,2,2,20,1,64.3349,65.6052,66.6325
10,35,25,4,5,1,9,1.3875,2,2,2,20,1,70.6525,72.04,73.0595
11,35,30,3,4,1,10,1.10084,2,2,2,20,1,78.0918,79.1926,80.2198
12,35,32,59,4,1,11,1.53789,1,2,2,20,1,84.24,85.7778,86.8029
13,35,30,42,5,1,12,1.95463,1,2,2,20,1,90.8253,92.7799,93.7916
14,30,15,158,6,1,13,2.15485,1,2,2,20,1,98.8108,100.966,101.983
15,35,31,129,4,1,14,2.22116,1,2,2,20,1,108.014,110.235,111.25
16,35,13,27,4,1,15,3.00118,2,2,2,20,1,115.27,118.271,119.284
17,25,17,9,4,1,16,1.73755,2,2,2,20,1,123.301,125.039,126.056
