TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,2.43516,2,3,1,19,1,2.01677,4.45193,5.47551
2,30,11,11,4,1,1,4.50339,2,3,1,19,1,11.5015,16.0049,17.0193
3,30,12,38,4,1,2,4.32223,1,3,1,19,1,21.036,25.3582,26.3791
4,35,12,76,6,1,3,2.28804,1,3,1,19,1,30.4056,32.6936,33.712
5,25,16,113,5,1,4,2.01845,1,3,1,19,1,39.7445,41.7629,42.7754
6,25,16,70,6,1,5,2.28813,1,3,1,19,1,47.7939,50.082,51.1057
7,30,18,67,4,1,6,1.43798,1,3,1,19,1,57.1299,58.5678,59.5919
8,25,19,20,4,1,7,1.52127,2,3,1,19,1,63.6151,65.1364,66.1614
9,30,21,171,4,1,8,1.52032,1,3,1,19,1,70.1847,71.705,72.7289
10,35,25,4,5,1,9,2.90441,2,3,1,19,1,76.753,79.6574,80.6691
11,35,30,3,4,1,10,2.01905,2,3,1,19,1,85.6906,87.7097,88.7342
12,35,32,59,4,1,11,1.96882,1,3,1,19,1,92.7597,94.7285,95.7405
13,35,30,42,5,1,12,2.7716,1,3,1,19,1,99.7592,102.531,103.556
14,30,15,158,6,1,13,1.73743,1,3,1,19,1,108.578,110.316,111.34
15,35,31,129,4,1,14,2.28823,1,3,1,19,1,117.364,119.652,120.669
16,35,13,27,4,1,15,4.18473,2,3,1,19,1,124.687,128.872,129.89
17,25,17,9,4,1,16,1.78759,2,3,1,19,1,133.919,135.707,136.723
