TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,5.08407,2,5,1,18,0,2.01784,7.10191,8.11482
2,30,11,11,4,1,1,4.73472,2,5,1,18,0,14.1373,18.8721,19.8927
3,30,12,38,4,1,2,4.70517,1,5,1,18,0,23.9197,28.6249,29.6425
4,35,12,76,6,1,3,7.28974,1,5,1,18,0,33.6721,40.9619,41.9839
5,25,16,113,5,1,4,8.86969,1,5,1,18,0,48.0135,56.8832,57.8956
6,25,16,70,6,1,5,18.1053,1,5,1,18,0,62.9183,81.0236,82.048
7,30,18,67,4,1,6,5.86971,2,5,1,18,0,88.0744,93.9441,94.9645
8,25,19,20,4,1,7,2.23781,2,5,1,18,0,98.9913,101.229,102.252
9,30,21,171,4,1,8,2.18756,1,5,1,18,0,106.277,108.465,109.49
10,35,25,4,5,1,9,1.80434,2,5,1,18,0,113.513,115.317,116.338
11,35,30,3,4,1,10,1.91731,2,5,1,18,0,121.369,123.286,124.31
12,35,32,59,4,1,11,1.89215,1,5,1,18,0,128.329,130.221,131.238
13,35,30,42,5,1,12,2.05481,1,5,1,18,0,135.252,137.307,138.32
14,30,15,158,6,1,13,14.6252,1,5,1,18,0,143.338,157.963,158.99
15,35,31,129,4,1,14,2.60461,1,5,1,18,0,165.011,167.616,168.632
16,35,13,27,4,1,15,5.17216,2,5,1,18,0,172.647,177.819,178.835
17,25,17,9,4,1,16,2.04071,2,5,1,18,0,182.847,184.888,185.901
