TrialNumber,Delay,Immed,Time,ITI,ran,order,rt,resp,sub,session,Age,sex,decision_onset,resp_onset,decision_offset
1,25,11,5,6,1,0,2.55749,2,5,2,18,0,2.01717,4.57467,5.60032
2,30,11,11,4,1,1,2.61785,2,5,2,18,0,11.6264,14.2442,15.2565
3,30,12,38,4,1,2,1.95484,1,5,2,18,0,19.2747,21.2296,22.2542
4,35,12,76,6,1,3,2.57173,2,5,2,18,0,26.2768,28.8485,29.8669
5,25,16,113,5,1,4,1.98463,1,5,2,18,0,35.8998,37.8845,38.8991
6,25,16,70,6,1,5,2.00475,1,5,2,18,0,43.9154,45.9202,46.933
7,30,18,67,4,1,6,1.9876,1,5,2,18,0,52.9514,54.939,55.9652
8,25,19,20,4,1,7,2.28779,1,5,2,18,0,59.9867,62.2745,63.2971
9,30,21,171,4,1,8,2.43738,1,5,2,18,0,67.3231,69.7605,70.785
10,35,25,4,5,1,9,1.88818,2,5,2,18,0,74.8077,76.6959,77.7112
11,35,30,3,4,1,10,0.94692,2,5,2,18,0,82.7172,83.6641,84.6867
12,35,32,59,4,1,11,1.38808,1,5,2,18,0,88.7117,90.0998,91.1138
13,35,30,42,5,1,12,1.43756,1,5,2,18,0,95.1304,96.5679,97.5877
14,30,15,158,6,1,13,1.36769,1,5,2,18,0,102.62,103.987,105.013
15,35,31,129,4,1,14,1.80269,1,5,2,18,0,111.037,112.839,113.858
16,35,13,27,4,1,15,2.12102,2,5,2,18,0,117.887,120.008,121.034
17,25,17,9,4,1,16,2.10485,2,5,2,18,0,125.056,127.161,128.179
